Journal name,JCR Abbreviation,2025 JIF,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
SCIENCE,SCIENCE,47.3,45.8,51.6,Q1,46.9,11,772,831162,MULTIDISCIPLINARY SCIENCES
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,47.1,60.9,73.8,Q1,46.9,8.5,1,69495,IMMUNOLOGY
Nature Reviews Nephrology,NAT REV NEPHROL,46.7,39.8,51,Q1,46,6.1,1,23411,UROLOGY & NEPHROLOGY
Nature Reviews Physics,NAT REV PHYS,46.6,39.5,60.4,Q1,46.4,7,0,16004,"PHYSICS, APPLIED|PHYSICS, MULTIDISCIPLINARY"
EUROPEAN HEART JOURNAL,EUR HEART J,45.3,35.6,42.2,Q1,42.1,7.5,240,104376,CARDIAC & CARDIOVASCULAR SYSTEMS
CELL,CELL,45.1,42.5,50.7,Q1,44.6,10.5,421,329596,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,44.7,41.9,41.3,Q1,44,15.8,299,180692,ONCOLOGY
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,44.5,41.7,50.9,Q1,43.9,5.6,136,111118,BIOTECHNOLOGY & APPLIED MICROBIOLOGY
iMeta,IMETA,44.4,33.2,47.3,Q1,43.7,9.9,56,7646,MICROBIOLOGY
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,42.9,40,47.2,Q1,42.4,7.5,0,44527,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Nature Reviews Bioengineering,NAT REV BIOENG,42.7,37.6,42.8,Q1,42.2,6.7,1,5529,"ENGINEERING, BIOMEDICAL|MATERIALS SCIENCE, BIOMATERIALS"
Nature Electronics,NAT ELECTRON,42.3,40.9,46.4,Q1,41.5,6.8,96,26060,"ENGINEERING, ELECTRICAL & ELECTRONIC"
Molecular Cancer,MOL CANCER,42.2,33.9,39.7,Q1,41.6,8.8,147,53231,BIOCHEMISTRY & MOLECULAR BIOLOGY|ONCOLOGY
Annual Review of Psychology,ANNU REV PSYCHOL,41.8,29.4,40.4,Q1,41.6,9.9,0,35759,"PSYCHOLOGY|PSYCHOLOGY, MULTIDISCIPLINARY"
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,41.3,37,40.5,Q1,41.2,8.1,0,19918,"ENERGY & FUELS|ENGINEERING, CHEMICAL|ENGINEERING, MECHANICAL|THERMODYNAMICS"
CIRCULATION,CIRCULATION,41.3,38.6,40.5,Q1,40.6,10.1,208,186674,CARDIAC & CARDIOVASCULAR SYSTEMS|PERIPHERAL VASCULAR DISEASE
JOURNAL OF HEPATOLOGY,J HEPATOL,40.1,33,33.1,Q1,38.8,15,164,73177,GASTROENTEROLOGY & HEPATOLOGY
Annual Review of Immunology,ANNU REV IMMUNOL,39.8,33.3,41.1,Q1,39.6,5.6,0,20193,IMMUNOLOGY
Innovation,INNOVATION-AMSTERDAM,39.5,25.7,46,Q1,38.5,11,68,13607,MULTIDISCIPLINARY SCIENCES
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,39.1,38.6,38.8,Q1,38.5,9.3,57,19481,GASTROENTEROLOGY & HEPATOLOGY
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,39.1,40,49.2,Q1,38.9,7.4,0,27488,ENDOCRINOLOGY & METABOLISM
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,38.7,16.7,24.5,Q1,37.9,4.1,71,9825,EDUCATION & EDUCATIONAL RESEARCH
REVIEWS OF GEOPHYSICS,REV GEOPHYS,38.5,37.3,46,Q1,38.4,5.1,0,21762,GEOCHEMISTRY & GEOPHYSICS
Nano-Micro Letters,NANO-MICRO LETT,38.5,36.3,33.4,Q1,37.1,12.6,242,47648,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED"
Nature Photonics,NAT PHOTONICS,38.1,32.9,39.5,Q1,37.6,7.2,146,66213,"OPTICS|PHYSICS, APPLIED"
NATURE MATERIALS,NAT MATER,38,38.5,44.6,Q1,37.7,14.9,211,120629,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
Nature Nanotechnology,NAT NANOTECHNOL,37.5,34.9,42.6,Q1,37.2,7.8,175,87388,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,37.3,32.5,43.3,Q1,37,3.3,0,19257,ASTRONOMY & ASTROPHYSICS
